project_name,proponent,region,province,municipalities,project_type,power_mw,status,source,url,updated_at
Impianto FER fotovoltaico - Comune di Spinazzola (BT) - 33.13 MW,,Puglia,BT,Spinazzola,Puglia VIA FER - fotovoltaico,33.13,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.090683
Impianto FER agrivoltaico - Comune di Apricena (FG) - 20.01 MW,,Puglia,FG,Apricena,Puglia VIA FER - agrivoltaico,20.01,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.092670
Impianto FER agrivoltaico - Comune di Foggia (FG) - 39.4 MW,,Puglia,FG,Foggia,Puglia VIA FER - agrivoltaico,39.4,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.124910
Impianto FER agrivoltaico - Comune di Gravina in Puglia (BA) - 40.33 MW,,Puglia,BA,Gravina in Puglia,Puglia VIA FER - agrivoltaico,40.33,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.455903
Impianto FER agrivoltaico - Comune di Troia (FG) - 34.575 MW,,Puglia,FG,Troia,Puglia VIA FER - agrivoltaico,34.575,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.470011
Impianto FER agrivoltaico - Comune di Foggia (FG) - 30.77 MW,,Puglia,FG,Foggia,Puglia VIA FER - agrivoltaico,30.77,Aperto,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.479568
Impianto FER agrivoltaico - Comune di Brindisi (BR) - 17.99 MW,,Puglia,BR,Brindisi,Puglia VIA FER - agrivoltaico,17.99,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.480792
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico denominato ""LICATA"", della potenza di 68,05 MW e delle relative opere di connessione alla RTN, da realizzarsi nei comuni di Licata e Campobello di Licata (AG).",RB Solar ENERGY S.r.l.,Sicilia,AG,"Licata, Campobello di Licata",Valutazione Impatto Ambientale (PNIEC-PNRR),68.05,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5953,2026-04-26T08:12:51.889031
"Provvedimento Unico in materia Ambientale (PNIEC-PNRR): Progetto di un impianto agrofotovoltaico della potenza pari a 49,91 MW combinato con sistema di accumulo, da realizzarsi nel comune di Manfredonia (FG), in località ""Panetteria del Conte""",Lucky Wind S.p.a.,Puglia,FG,Manfredonia,Provvedimento Unico in materia Ambientale (PNIEC-PNRR),49.91,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5933,2026-04-26T08:12:51.941274
"Valutazione Impatto Ambientale (PNIEC-PNRR): Parco Agrovoltaico con impianto di accumulo e delle opere connesse denominato ""Pecciapertosa"", della potenza complessiva di 22,57 MW, nei comuni di Castronovo di Sicilia e Lercara Friddi (PA)",ND-THREE S.R.L.,Sicilia,PA,"Castronovo di Sicilia, Lercara Friddi",Valutazione Impatto Ambientale (PNIEC-PNRR),22.57,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/5923,2026-04-26T08:12:51.952274
Impianto FER agrivoltaico - Comune di Taranto (TA) - 12.67 MW,,Puglia,TA,Taranto,Puglia VIA FER - agrivoltaico,12.67,Aperto,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.496772
Impianto FER agrivoltaico - Comune di Foggia (FG) - 76.73 MW,,Puglia,FG,Foggia,Puglia VIA FER - agrivoltaico,76.73,Aperto,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T08:06:45.537179
